ValueDate,Hourcet,Cons,month,Wind,Solar
2019-08-01,1,47381.9,8,5087.7,0.0
2019-08-01,2,46070.9,8,4787.8,0.0
2019-08-01,3,45508.1,8,4600.1,0.0
2019-08-01,4,45409.4,8,4465.4,0.0
2019-08-01,5,46193.6,8,4577.8,0.0
2019-08-01,6,48329.3,8,4887.0,36.5
2019-08-01,7,55196.6,8,5046.5,1358.0
2019-08-01,8,59807.4,8,4294.1,5056.4
2019-08-01,9,61857.7,8,3682.4,10257.4
2019-08-01,10,62369.4,8,3954.4,15844.4
2019-08-01,11,64068.7,8,4291.9,19778.8
2019-08-01,12,66281.4,8,3925.4,21590.7
2019-08-01,13,66096.0,8,3668.3,22112.5
2019-08-01,14,66146.8,8,3830.3,20758.0
2019-08-01,15,65558.7,8,3575.0,18654.6
2019-08-01,16,64498.0,8,3024.6,18122.2
2019-08-01,17,63166.2,8,2808.7,15881.6
2019-08-01,18,62694.5,8,2420.3,12584.9
2019-08-01,19,61625.4,8,2184.3,8079.2
2019-08-01,20,59859.6,8,2144.2,3843.7
2019-08-01,21,56953.5,8,1966.9,915.8
2019-08-01,22,55493.6,8,2034.3,7.3
2019-08-01,23,52394.4,8,1969.0,0.0
2019-08-01,24,49009.8,8,1819.9,0.0
2019-08-02,1,48181.6,8,2315.8,0.0
2019-08-02,2,46668.2,8,2051.1,0.0
2019-08-02,3,45809.2,8,1774.6,0.0
2019-08-02,4,45924.1,8,1424.7,0.0
2019-08-02,5,46760.4,8,1243.3,0.0
2019-08-02,6,48905.2,8,1194.4,32.8
2019-08-02,7,55361.6,8,1104.1,1278.3
2019-08-02,8,60276.5,8,766.3,4821.3
2019-08-02,9,63027.8,8,897.2,10037.3
2019-08-02,10,64227.7,8,1145.5,15723.5
2019-08-02,11,65717.0,8,1068.1,20201.4
2019-08-02,12,67691.9,8,911.6,22242.4
2019-08-02,13,67311.5,8,816.3,22856.0
2019-08-02,14,66511.7,8,884.2,21267.5
2019-08-02,15,65228.6,8,1161.7,19406.7
2019-08-02,16,63935.3,8,1539.3,17436.7
2019-08-02,17,63013.8,8,2400.9,13733.4
2019-08-02,18,62466.9,8,3367.7,10595.5
2019-08-02,19,60653.2,8,4047.3,7291.1
2019-08-02,20,58298.4,8,4014.5,3381.6
2019-08-02,21,55368.4,8,3706.7,740.4
2019-08-02,22,54386.6,8,3432.9,4.2
2019-08-02,23,52089.8,8,3414.7,0.0
2019-08-02,24,49073.3,8,3148.8,0.0
2019-08-03,1,47042.4,8,4991.2,0.0
2019-08-03,2,45037.9,8,4925.9,0.0
2019-08-03,3,44013.3,8,4622.3,0.0
2019-08-03,4,43623.7,8,4116.1,0.0
2019-08-03,5,43667.9,8,4079.8,0.0
2019-08-03,6,43097.5,8,4427.7,25.1
2019-08-03,7,43857.4,8,4330.6,1034.8
2019-08-03,8,46311.4,8,3844.3,3995.3
2019-08-03,9,49835.7,8,3304.8,8393.8
2019-08-03,10,52829.5,8,2828.9,12581.8
2019-08-03,11,54340.4,8,2565.9,16267.1
2019-08-03,12,56369.7,8,2380.7,17572.2
2019-08-03,13,55939.0,8,2496.7,20672.4
2019-08-03,14,54356.8,8,2946.9,20514.2
2019-08-03,15,52970.0,8,3850.0,19426.3
2019-08-03,16,52098.2,8,4493.8,17902.8
2019-08-03,17,51167.8,8,4693.5,15039.8
2019-08-03,18,50923.7,8,4493.2,11653.2
2019-08-03,19,50095.4,8,4043.2,7882.2
2019-08-03,20,48583.8,8,3551.5,3736.1
2019-08-03,21,46916.2,8,3259.4,819.3
2019-08-03,22,47098.3,8,3575.9,4.7
2019-08-03,23,46242.2,8,3522.2,0.0
2019-08-03,24,44097.5,8,3185.1,0.0
2019-08-04,1,42001.0,8,2001.6,0.0
2019-08-04,2,40037.7,8,1852.3,0.0
2019-08-04,3,38762.8,8,1662.2,0.0
2019-08-04,4,38242.4,8,1600.0,0.0
2019-08-04,5,38294.3,8,1494.9,0.0
2019-08-04,6,37398.7,8,1575.3,23.2
2019-08-04,7,36841.7,8,1591.1,1279.3
2019-08-04,8,38233.5,8,1136.9,5015.7
2019-08-04,9,41341.6,8,775.2,10308.9
2019-08-04,10,44556.4,8,854.3,15770.2
2019-08-04,11,47730.0,8,1259.9,19551.8
2019-08-04,12,51344.6,8,1543.7,21004.4
2019-08-04,13,51480.9,8,1793.9,21448.9
2019-08-04,14,49864.7,8,2115.7,20962.4
2019-08-04,15,48381.9,8,2523.1,20546.6
2019-08-04,16,47532.5,8,3020.6,19262.6
2019-08-04,17,47016.6,8,3143.6,16780.1
2019-08-04,18,47697.8,8,2876.8,13324.2
2019-08-04,19,47941.0,8,2557.5,8581.7
2019-08-04,20,47590.1,8,2441.5,3905.9
2019-08-04,21,47228.7,8,2676.8,812.0
2019-08-04,22,48306.5,8,2527.4,1.1
